#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2002-01-05, 21:01:54
# Real time (s): 1213075.660
# Live time (s): 1209818.120
#
# Total counts:  221428538
#
# Left marker:  20 (7.086 keV)
# Right marker: 50 (17.695 keV)
# Counts:       4574772
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.012663
#     A1: 0.353645
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.366	0	0
2	0.720	0	0
3	1.074	0	0
4	1.427	0	0
5	1.781	0	0
6	2.135	0	0
7	2.488	0	0
8	2.842	100	8.26571e-05
9	3.195	303	0.000250451
10	3.549	410	0.000338894
11	3.903	505	0.000417418
12	4.256	544	0.000449654
13	4.610	535	0.000442215
14	4.964	726	0.00060009
15	5.317	91141	0.0753345
16	5.671	207782	0.171746
17	6.025	222884	0.184229
18	6.378	227636	0.188157
19	6.732	220688	0.182414
20	7.086	213536	0.176503
21	7.439	207154	0.171227
22	7.793	200938	0.166089
23	8.146	194446	0.160723
24	8.500	188737	0.156004
25	8.854	183871	0.151982
26	9.207	178299	0.147377
27	9.561	173555	0.143455
28	9.915	170225	0.140703
29	10.268	168019	0.13888
30	10.622	165843	0.137081
31	10.976	160798	0.132911
32	11.329	156488	0.129348
33	11.683	153704	0.127047
34	12.037	150209	0.124158
35	12.390	148446	0.122701
36	12.744	146201	0.120845
37	13.098	143508	0.118619
38	13.451	141250	0.116753
39	13.805	139307	0.115147
40	14.158	136437	0.112775
41	14.512	134314	0.11102
42	14.866	132246	0.109311
43	15.219	130789	0.108106
44	15.573	129023	0.106647
45	15.927	127647	0.105509
46	16.280	125444	0.103688
47	16.634	123516	0.102095
48	16.988	122615	0.10135
49	17.341	121243	0.100216
50	17.695	120500	0.0996017
51	18.049	118949	0.0983197
52	18.402	117734	0.0973155
53	18.756	116814	0.096555
54	19.109	114848	0.09493
55	19.463	114519	0.094658
56	19.817	112977	0.0933835
57	20.170	112311	0.092833
58	20.524	111525	0.0921833
59	20.878	110773	0.0915617
60	21.231	108981	0.0900805
61	21.585	108269	0.089492
62	21.939	108228	0.0894581
63	22.292	106544	0.0880661
64	22.646	106654	0.0881571
65	23.000	105190	0.086947
66	23.353	104478	0.0863584
67	23.707	103711	0.0857245
68	24.061	104086	0.0860344
69	24.414	103139	0.0852517
70	24.768	102380	0.0846243
71	25.121	101181	0.0836332
72	25.475	100331	0.0829306
73	25.829	100067	0.0827124
74	26.182	99691	0.0824016
75	26.536	98776	0.0816453
76	26.890	98702	0.0815842
77	27.243	97245	0.0803799
78	27.597	97487	0.0805799
79	27.951	97402	0.0805096
80	28.304	96748	0.079969
81	28.658	95705	0.0791069
82	29.012	95375	0.0788342
83	29.365	94672	0.0782531
84	29.719	94713	0.078287
85	30.072	93695	0.0774455
86	30.426	93977	0.0776786
87	30.780	92966	0.076843
